New,Old,Time
1.8335,0.2,540
1.9439,0.2,542
2.0516,0.2,544
2.0603,0.2,546
2.0684,0.2,548
2.0765,0.2,550
2.0842,0.2,552
2.0938,0.2,554
2.1021,0.2,556
2.1087,0.2,558
2.1191,0.2,560
2.127,0.2,562
2.1338,0.2,564
2.1434,0.2,566
2.1506,0.2,568
2.2291,0.2,570
2.3433,0.2,572
2.3445,0.2,574
2.3814,0.2,576
2.423,0.2,578
2.4769,0.2,580
2.5382,0.2,582
2.6211,0.2,584
2.7946,0.2,586
0.122,0.2,588
0.28639,0.2,590
0.31634,0.2,592
0.48322,0.2,594
0.6887,0.2,596
0.79205,0.2,598
0.078384,0.2,600
0.053304,0.2,602
0.60084,0.2,604
0.82031,0.2,606
0.58653,0.2,608
0.67078,0.2,610
0.46818,0.2,612
0.46822,0.2,614
0.46594,0.2,616
0.46637,0.2,618
0.46748,0.2,620
