Nodes,Type,Value
269,'exact-old',0.033
754,'exact-old',0.306
5703,'exact-old',175
269,'exact-new',0.035
754,'exact-new',0.393
5703,'exact-new',188
269,'stochastic-old',0.024
754,'stochastic-old', 0.071
5703,'stochastic-old',1.103
10423,'stochastic-old',1.9
269,'stochastic-new',0.021
754,'stochastic-new',0.066
5703,'stochastic-new',0.872
10423,'stochastic-new',2.2
